Timeline,Start time,Duration,Row,Instance number,#0 LaBaron Philon,#1 Jalil Bethea,#10 Keitenn Bristow,#11 Marcus Zegarowski,#11 Preston Murphy Jr.,#15 Noah Williamson,#2 Aden Holloway,#22 Aiden Sherrell,#3 Latrell Wrightsell Jr.,#32 Jacob Martin,#34 Collins Onyejiaka,#4 Davion Hannah,#4 Hayden Doyle,#5 Amari Allen,#6 London Jemison,#7 Taylor Bol Bowen,#95 Houston Mallette,-,2FG (Defenders),2FG (Dribble),2FG (Feet),2FG (Hands),2FG (Other),2FG (PA),2FG (RA),2FG (Type),2FG Scheme (Attack),2FG Scheme (Drive),2FG Scheme (Pass),3FG (Balance),3FG (Contest),3FG (Footwork),3FG (Line),3FG (Move),3FG (Pocket),3FG (Shrink),3FG (Type),3FG Scheme (Attack),3FG Scheme (Drive),3FG Scheme (Pass),ACTION,ATO Plays,Assist (Defenders),Assist (Feet),Assist (Hand),Assist (Jump),Assist (Paint),Assist Type,COVERAGE,FT BELOW,GAME,GAME SPLITS,OPP STATS,PAINT TOUCHES,PASS CONTEST,PLAYCALL,PLAYER POSSESSIONS,PNR GAP HELP,POSITION,POSSESSION START,POSSESSION TYPE,PnR Action,PnR Coverage,PnR Effect,PnR LOCATION,PnR Result Type,PnR Term,PnR Type,SERIES,SHOT CLOCK,SHOT CLOCK PT,Shot Location,Shot Possession Type,TEAM,TO (Defenders),TO (Feet),TO (Hand),TO (Jump),TO (Paint),TO LB/DB,TO Scheme,TO Scheme (Attack),TO Scheme (Drive),TO Scheme (Non-Pass),TO Scheme (Pass),TO Type,Ungrouped,Notes,Flags
25_11_08 ALABAMA VS ST. JOHNS,3240.269986937,7.0,#0 LaBaron Philon,28,2nd Assist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"at St. John's, REPORT, REPORT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_11_08 ALABAMA VS ST. JOHNS,3300.443833297,7.0,#0 LaBaron Philon,29,3FG+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"at St. John's, REPORT, REPORT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_11_08 ALABAMA VS ST. JOHNS,3457.337842664,7.0,#0 LaBaron Philon,30,2FG+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"at St. John's, REPORT, REPORT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_11_08 ALABAMA VS ST. JOHNS,3565.331728145,7.0,#0 LaBaron Philon,31,Foul By,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"at St. John's, REPORT, REPORT",,,,,,,,,,,,,,,,,,,,,,,Foul,,,,,,,,,,,,,,,
25_11_08 ALABAMA VS ST. JOHNS,3651.48958428,7.0,#0 LaBaron Philon,32,2nd Assist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"at St. John's, REPORT, REPORT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_11_08 ALABAMA VS ST. JOHNS,4737.115233684,7.0,#0 LaBaron Philon,33,Pot. Assist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"at St. John's, REPORT, REPORT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_11_08 ALABAMA VS ST. JOHNS,4764.795321063,7.0,#0 LaBaron Philon,34,Pot. Assist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"at St. John's, REPORT, REPORT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_11_08 ALABAMA VS ST. JOHNS,4892.400056326,7.0,#0 LaBaron Philon,35,Pot. Assist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"at St. John's, REPORT, REPORT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_11_08 ALABAMA VS ST. JOHNS,4922.866903475,7.0,#0 LaBaron Philon,36,Pot. Assist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"at St. John's, REPORT, REPORT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_11_08 ALABAMA VS ST. JOHNS,4978.46965382,7.0,#0 LaBaron Philon,37,ATR+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"at St. John's, REPORT, REPORT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_11_08 ALABAMA VS ST. JOHNS,5280.873381442,9.0,#0 LaBaron Philon,38,Deflection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"at St. John's, REPORT, REPORT","20:00 - 16:00, 2nd Half",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_11_08 ALABAMA VS ST. JOHNS,5284.539812346,9.0,#0 LaBaron Philon,39,LB / Steal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"at St. John's, REPORT, REPORT","20:00 - 16:00, 2nd Half",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_11_08 ALABAMA VS ST. JOHNS,5291.148731839,7.0,#0 LaBaron Philon,40,ATR+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"at St. John's, REPORT, REPORT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_11_08 ALABAMA VS ST. JOHNS,5589.337618258,7.0,#0 LaBaron Philon,41,ATR+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"at St. John's, REPORT, REPORT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
